,place,category,location
1294,블랙소울클래식,카페|디저트,경기도 부천시 심곡동
1295,브루클린더버거조인트 동부이촌점,햄버거,서울특별시 용산구 이촌동
1296,탠덤커피클럽,카페|디저트,강원도 양양군 강현면
1297,부엉이빌라,샤브샤브,서울특별시 광진구 화양동
1298,수류헌,카페|디저트,경상남도 진주시 중안동
1299,아곤,맥주|호프,서울특별시 영등포구 문래동2가
1300,어라인커피,카페,부산광역시 부산진구 가야동
1301,레드인,카페|디저트,서울특별시 동대문구 장안동
1302,카페 미와,케이크전문,제주특별자치도 제주시 구좌읍
1303,위트미,브런치,경기도 양주시 만송동
1304,비브레이브 서면,베이커리,부산광역시 부산진구 전포동
1305,바다앞테라스,베이커리,인천광역시 중구 중산동
1306,오늘도카츠,돈가스,부산광역시 영도구 봉래동3가
1307,맘스키친,일식당,서울특별시 종로구 부암동
1308,연과자점,베이커리,제주특별자치도 서귀포시 서귀동
1309,미스터하이볼,바(BAR),서울특별시 관악구 봉천동
1310,동백정원,카페|디저트,제주특별자치도 서귀포시 대포동
1311,테라로사 커피공장 강릉본점,카페,강원도 강릉시 구정면
1312,알레그리아 덕수궁 디팰리스점,카페,서울특별시 종로구 신문로2가
1313,애드리브컴퍼니,카페,전라북도 완주군 상관면
1314,멍때림,카페|디저트,인천광역시 강화군 화도면
1315,윤쉐프 정직한제빵소,베이커리,경기도 양주시 만송동
1316,제스티살룬,햄버거,서울특별시 성동구 성수동1가
1317,평화다방 여의도점,카페|디저트,서울특별시 영등포구 여의도동
1318,중문회어시장,생선회,제주특별자치도 서귀포시 색달동
1319,보사노바 커피로스터스 속초점,카페|디저트,강원도 속초시 조양동
1320,팩토리670,베이커리,경기도 광주시 오포읍
1321,인스퀘어,브런치,경기도 파주시 탄현면
1322,도쿄가다,일식당,부산광역시 부산진구 전포동
1323,난포,한식,서울특별시 성동구 성수동1가
1324,콘하스,카페|디저트,서울특별시 서대문구 연희동
1325,케슬리,샌드위치,서울특별시 노원구 상계동
1326,잇칸시타,일식당,제주특별자치도 제주시 애월읍
1327,아크커피,카페|디저트,인천광역시 부평구 갈산동
1328,한양중식 광명점,중식당,경기도 광명시 일직동
1329,온세면,칼국수|만두,대구광역시 달서구 월성동
1330,롱브르,카페|디저트,서울특별시 마포구 연남동
1331,모미지,일식당,경기도 시흥시 정왕동
1332,예술미각,양식,서울특별시 성북구 삼선동5가
1333,와필레,와플,서울특별시 용산구 이태원동
1334,하연옥 촉석루점,냉면,경상남도 진주시 동성동
1335,삼육오족발 거제아주점,족발|보쌈,경상남도 거제시 아주동
1336,펠른,카페,서울특별시 마포구 연남동
1337,11월의 발자국,카페|디저트,경기도 부천시 중동
1338,비엔,카페|디저트,서울특별시 서초구 반포동
1339,어반그레이 로스터리,카페,부산광역시 부산진구 양정동
1340,코러스커피,카페|디저트,대구광역시 중구 공평동
1341,79파운야드 도산공원점,베이커리,서울특별시 강남구 신사동
1342,오리올,브런치,서울특별시 용산구 후암동
1343,QUENCH COFFEE,음식점,서울특별시 마포구 서교동
1344,테라스룸,양식,서울특별시 강남구 청담동
1345,달의연인,이자카야,제주특별자치도 제주시 애월읍
1346,ROOM 201,이탈리아음식,서울특별시 중구 남산동2가
1347,누시,브런치,서울특별시 용산구 후암동
1348,studio123,카페|디저트,서울특별시 마포구 아현동
1349,뭄미,카페|디저트,서울특별시 마포구 망원동
1350,락희안 일산점,중식당,경기도 고양시 일산동구
1351,키친오늘,양식,서울특별시 성동구 금호동3가
1352,이인,와인,서울특별시 마포구 공덕동
1353,존중,이탈리아음식,경기도 부천시 심곡동
1354,소래버섯나라풍무점,샤브샤브,경기도 김포시 풍무동
1355,꽃가마,한식,전라북도 전주시 완산구
1356,익선디미방,양식,서울특별시 종로구 익선동
1357,대반동201,피자,전라남도 목포시 죽교동
1358,용마루,닭요리,경기도 광주시 남한산성면
1359,똣똣,베트남음식,제주특별자치도 서귀포시 성산읍
1360,뵤뵤,카페|디저트,제주특별자치도 제주시 한림읍
1361,이오로비스트로,퓨전음식,서울특별시 성동구 성수동2가
1362,배 수사,일식당,서울특별시 중구 다동
1363,우호적무관심,카페|디저트,제주특별자치도 제주시 한경면
1364,로맨틱새우,퓨전음식,제주특별자치도 제주시 애월읍
1365,로스터 이안,카페,강원도 강릉시 교1동
1366,풍원장 고기정찬,한식,부산광역시 사상구 엄궁동
1367,르다,카페,서울특별시 노원구 상계동
1368,고불락,한식,제주특별자치도 제주시 애월읍
1369,에스페란자,카페|디저트,경상북도 포항시 남구
1370,카페329,카페|디저트,전라남도 담양군 담양읍
1371,좋은아침 페스츄리 현대프리미엄아울렛 대전점,베이커리,대전광역시 유성구 용산동
1372,비오는날의숲,양식,제주특별자치도 제주시 조천읍
1373,애월 인디고인디드 카페,카페|디저트,제주특별자치도 제주시 애월읍
1374,슈가램프,카페|디저트,제주특별자치도 제주시 한경면
1375,디디카페,카페|디저트,서울특별시 성북구 정릉동
1376,카페유자,카페|디저트,경상남도 남해군 삼동면
1377,청수당,카페|디저트,서울특별시 종로구 익선동
1378,가배도 삼청,카페,서울특별시 종로구 소격동
1379,카페보이드 본점,카페|디저트,대전광역시 서구 내동
1380,구구당,퓨전음식,서울특별시 강남구 역삼동
1381,백화제방,베이커리,부산광역시 기장군 기장읍
1382,푸짐한집,생선회,울산광역시 동구 일산동
1383,플럼버,브런치,경상남도 김해시 부원동
1384,CAKE LAB,케이크전문,경상북도 상주시 서성동
1385,터프이너프,베이커리,경기도 안산시 단원구
1386,보래식탁,한식,제주특별자치도 서귀포시 강정동
1387,비채커피,카페|디저트,충청북도 충주시 노은면
1388,서귀당,베이커리,제주특별자치도 서귀포시 서귀동
1389,오핀 베이커리,카페,경기도 양주시 장흥면
1390,카페검디,카페|디저트,경상북도 포항시 북구
1391,만선식당,생선회,제주특별자치도 서귀포시 대정읍
1392,작업실 조용현,카페|디저트,충청북도 충주시 성내동
1393,홍차가게 안단테,카페,대구광역시 동구 덕곡동
1394,행즈,피자,제주특별자치도 제주시 구좌읍
1395,텐동키츠네,우동|소바,인천광역시 부평구 부평동
1396,포테이블,일식당,전라남도 화순군 화순읍
1397,소보리당로222,카페,제주특별자치도 서귀포시 상예동
1398,콴안다오,베트남음식,서울특별시 강남구 신사동
1399,오네스타,이탈리아음식,경기도 양평군 강상면
1400,스멜츠,이탈리아음식,경기도 광주시 오포읍
1401,슌,일식당,전라남도 나주시 빛가람동
1402,계수작 서면점,요리주점,부산광역시 부산진구 부전동
1403,곧은,카페|디저트,인천광역시 강화군 길상면
1404,통의동 국빈관,소고기구이,서울특별시 종로구 통의동
1405,Dining Hu,요리주점,서울특별시 서대문구 충정로3가
1406,브라이언스커피,카페|디저트,서울특별시 강남구 도곡동
1407,킨포크테이블,돼지고기구이,제주특별자치도 제주시 구좌읍
1408,커피벨트,카페,전라북도 군산시 중앙로1가
1409,37.5 위례점,브런치,경기도 성남시 수정구
1410,카페메모리아,카페,충청북도 충주시 중앙탑면
1411,오늘도화창,카페|디저트,제주특별자치도 제주시 구좌읍
1412,카페차롱,카페|디저트,제주특별자치도 서귀포시 안덕면
1413,카페드바바,카페|디저트,경기도 성남시 분당구
1414,테바카페,베이커리,전라북도 전주시 덕진구
1415,카페벙커,카페,경상북도 경산시 서상동
1416,엘림커피,카페,강원도 평창군 진부면
1417,협재술시,요리주점,제주특별자치도 제주시 한림읍
1418,엠이유퍼,베트남음식,인천광역시 중구 용동
1419,라구라구,스파게티|파스타전문,경기도 하남시 망월동
1420,칸다소바,일본식라면,서울특별시 마포구 상수동
1421,호도리,카페|디저트,충청북도 청주시 흥덕구
1422,도쿄술집 선릉역점,이자카야,서울특별시 강남구 대치동
1423,길한우,소고기구이,경상북도 경주시 황성동
1424,주인의주방 전주혁신도시점,이자카야,전라북도 완주군 이서면
1425,카페 퍼즈,베이커리,경기도 평택시 평택동
1426,우럭잡는총각,한식,경상남도 창원시 마산합포구
1427,카페 여주,카페|디저트,경기도 여주시 강천면
1428,브런치부기,카페|디저트,경기도 고양시 덕양구
1429,구구집,생선회,강원도 속초시 영랑동
1430,킷사모노,양식,부산광역시 중구 대청동2가
1431,주리스커피,카페|디저트,강원도 정선군 남면
1432,카페배양장,카페|디저트,경상남도 통영시 산양읍
1433,뷰티그로서리,양식,서울특별시 강남구 신사동
1434,돈꿀꺽,한식,제주특별자치도 제주시 애월읍
1435,이에르바,카페|디저트,제주특별자치도 제주시 조천읍
1436,롯데호텔서울 모모야마,일식당,서울특별시 중구 소공동
1437,카페하프온즈,카페|디저트,서울특별시 용산구 후암동
1438,소양강춘천막국수 동래점,막국수,부산광역시 동래구 명륜동
1439,마끼스시,일식당,강원도 동해시 평릉동
1440,온더보더 수원AK점,멕시코|남미음식,경기도 수원시 팔달구
1441,전라국수,칼국수|만두,경기도 남양주시 조안면
1442,연화온도,카페|디저트,부산광역시 해운대구 우동
1443,온블랙94,스테이크|립,서울특별시 마포구 상수동
1444,니모스,카페|디저트,서울특별시 성북구 성북동
1445,이서방왕족발보쌈 동탄점,족발|보쌈,경기도 화성시 반송동
1446,대게가,대게요리,인천광역시 서구 원당동
1447,초록지붕의앤,패밀리레스토랑,경기도 안산시 상록구
1448,봉순게장,게요리,경기도 부천시 작동
1449,배터지는게장,게요리,인천광역시 남동구 장수동
1450,부부정,일식당,경기도 김포시 장기동
1451,뉴오리진 스타필드안성점,카페|디저트,경기도 안성시 공도읍
1452,어반스피릿,카페|디저트,경기도 성남시 분당구
1453,기리 칠곡점,돈가스,대구광역시 북구 동천동
1454,호운,생선구이,경기도 이천시 신둔면
1455,카페리네,카페|디저트,경기도 용인시 처인구
1456,땀땀,베트남음식,서울특별시 용산구 한남동
1457,마마네회포장,생선회,제주특별자치도 서귀포시 서귀동
1458,세상의모든아침 광교점,브런치,경기도 수원시 영통구
1459,카페 그리너리티,카페|디저트,서울특별시 도봉구 창동
1460,온량,양식,서울특별시 성동구 성수동1가
1461,이태리국시 본점,양식,대전광역시 서구 둔산동
1462,행복이가득한집,카페|디저트,서울특별시 용산구 후암동
1463,오스트리아빈,카페|디저트,대전광역시 유성구 갑동
1464,포레스트H,카페|디저트,경기도 광주시 초월읍
1465,중화카츠,돈가스,서울특별시 성동구 성수동1가
1466,카페아스타나,카페,경기도 화성시 기산동
1467,카페메이븐,브런치,경기도 수원시 팔달구
1468,롤링파스타 서현역점,이탈리아음식,경기도 성남시 분당구
1469,카페웨이브앤델리,스파게티|파스타전문,서울특별시 중랑구 상봉동
1470,몰마농,햄버거,제주특별자치도 서귀포시 성산읍
1471,킹콩파스타,이탈리아음식,서울특별시 강동구 길동
1472,푸른솔가든,한식,인천광역시 강화군 강화읍
1473,유니온,양식,제주특별자치도 제주시 구좌읍
1474,카페 아띠,카페|디저트,제주특별자치도 서귀포시 도순동
1475,노형수산시장,생선회,제주특별자치도 제주시 노형동
1476,벨라로사,스테이크|립,경기도 성남시 분당구
1477,청목식당,한식,강원도 춘천시 사농동
1478,전주단지네 대전오류점,한식,대전광역시 중구 오류동
1479,오늘의날씨,카페,충청남도 천안시 동남구
1480,롤링파스타 광주유스퀘어점,이탈리아음식,광주광역시 서구 광천동
1481,어보,해물|생선요리,부산광역시 기장군 일광면
1482,버터플레이버,카페|디저트,광주광역시 북구 운암동
1483,갤러리카페밀,카페|디저트,경기도 고양시 일산동구
1484,청풍황금떡갈비,한식,충청북도 제천시 청풍면
1485,삼촌네 심야식당,요리주점,대전광역시 유성구 봉명동
1486,620콜린스,카페,경상북도 경주시 황남동
1487,봉등당,카페|디저트,경상북도 영천시 문외동
1488,오부이용,프랑스음식,서울특별시 성동구 금호동1가
1489,미태리 김포카림애비뉴점,스파게티|파스타전문,경기도 김포시 구래동
1490,스웰즈베이커리,베이커리,경기도 남양주시 별내동
1491,서올건설 베이커리 카페,카페,충청남도 천안시 서북구
1492,그린플레이트,카페|디저트,대구광역시 달서구 진천동
1493,스시현,초밥|롤,경기도 부천시 심곡동
1494,동명정류장,카페|디저트,제주특별자치도 제주시 한림읍
1495,그린그라스 풍경,카페|디저트,경기도 광주시 오포읍
1496,다운타우너 청담,햄버거,서울특별시 강남구 신사동
1497,카페유오유,카페|디저트,서울특별시 강서구 가양동
1498,야마야 을지로,일식당,서울특별시 중구 수하동
1499,라온하제,베트남음식,경상남도 창원시 성산구
1500,깡통만두,만두,서울특별시 종로구 재동
1501,그리다부부,카페|디저트,부산광역시 중구 대청동2가
1502,박순례 손말이고기 산정집 광화문점,소고기구이,서울특별시 종로구 당주동
1503,커피리브레 타임스퀘어점,카페,서울특별시 영등포구 영등포동4가
1504,강남명전,전|빈대떡,서울특별시 서초구 서초동
1505,다가연어,한식,전라북도 전주시 완산구
1506,란콰이펑누들,한식,서울특별시 강서구 마곡동
1507,번패티번 세종점,햄버거,세종특별자치시 나성동 361-50
1508,백록횟집,생선회,제주특별자치도 서귀포시 성산읍
1509,도라보울,일식당,부산광역시 중구 남포동2가
1510,튜나킹,생선회,대구광역시 수성구 범어동
1511,카페유어프레즌트 이천직영점,카페|디저트,경기도 이천시 창전동
1512,빅딜,카페|디저트,경상남도 양산시 물금읍
1513,Neue Atmung,카페|디저트,서울특별시 강남구 신사동
1514,상청당,카페,경기도 안양시 동안구
1515,잔상,와인,서울특별시 마포구 연남동
1516,닝교초식당 홍대점,일식당,서울특별시 마포구 동교동
1517,보틀러,양식,서울특별시 중구 충무로3가
1518,까루테,카페|디저트,경기도 수원시 권선구
1519,싱싱소래포구회 서구청역3호점,생선회,인천광역시 서구 심곡동
1520,난식당1974,한식,경상북도 경주시 진현동
1521,베이스먼트,카페|디저트,경기도 안양시 만안구
1522,SADDLER HAUS,와플,서울특별시 강남구 신사동
1523,피제리아다알리,이탈리아음식,대전광역시 유성구 지족동
1524,카모메 동부이촌점,오니기리,서울특별시 용산구 이촌동
1525,더포레스트,베이커리,경기도 양평군 서종면
1526,달리181,스파게티|파스타전문,서울특별시 관악구 신림동
1527,마녀의 언덕 카페,카페|디저트,제주특별자치도 서귀포시 하예동
1528,뜨돈 칠곡점,돈가스,대구광역시 북구 구암동
1529,피카피오,초콜릿전문점,서울특별시 강동구 천호동
1530,콜린,카페|디저트,서울특별시 마포구 서교동
1531,망중한 커피앤티,카페|디저트,충청남도 공주시 반죽동
1532,흑돼지가있는풍경 노형점,돼지고기구이,제주특별자치도 제주시 노형동
1533,압구정곱떡 가로수길점,분식,서울특별시 강남구 신사동
1534,뜰과다원,한방카페,서울특별시 종로구 관훈동
1535,도담추어탕,추어탕,경기도 고양시 덕양구
1536,진복호,생선회,인천광역시 강화군 길상면
1537,로우앤슬로우,스테이크|립,서울특별시 용산구 이태원동
1538,화정맛집민쿡다시마,초밥|롤,경기도 고양시 덕양구
1539,백석,바(BAR),부산광역시 해운대구 중동
1540,silver HAN spoon,일식당,서울특별시 강남구 신사동
1541,우리매운탕,해물|생선요리,충청북도 괴산군 괴산읍
1542,청류벽,막국수,서울특별시 서초구 서초동
1543,인도가는길,인도음식,대구광역시 중구 대봉동
1544,털보장어,장어|먹장어요리,충청남도 당진시 읍내동
1545,문스타파,스페인음식,서울특별시 마포구 도화동
1546,스노우피,초밥|롤,대구광역시 중구 동성로3가
1547,비스트로초이,이탈리아음식,서울특별시 성동구 행당동
1548,삼봉차이나,중식당,경상북도 포항시 북구
1549,도토리키친,국수,제주특별자치도 제주시 삼도이동
1550,스터번,양식,서울특별시 강남구 역삼동
1551,밭,카페|디저트,대구광역시 수성구 범어동
1552,라라브레드 양산점,카페|디저트,광주광역시 북구 본촌동
1553,Hut,카페,전라남도 목포시 북교동
1554,하이웨스트 익선,카페|디저트,서울특별시 종로구 돈의동
1555,훼미리손칼국수보쌈,칼국수|만두,서울특별시 성동구 성수동1가
1556,SAAP 연남,태국음식,서울특별시 마포구 연남동
1557,소와,소고기구이,경상북도 포항시 북구
1558,국시트멍,국수,제주특별자치도 제주시 노형동
1559,유가네한우곰탕,한식,경기도 수원시 영통구
1560,본우리반상 그랑서울점,한식,서울특별시 종로구 청진동
1561,대세,요리주점,서울특별시 강북구 수유동
1562,시암,태국음식,경기도 화성시 송동
1563,득이네찜 영일대점,해물|생선요리,경상북도 포항시 북구
1564,아오모리,한식,경기도 안산시 단원구
1565,훈감동,덮밥,서울특별시 서초구 방배동
1566,제주그때그집 공항점,돼지고기구이,제주특별자치도 제주시 도두이동
1567,해운대횟집,일식당,부산광역시 해운대구 중동
1568,프레쉬맨,일식당,대전광역시 서구 갈마동
1569,트라토리아다니,이탈리아음식,서울특별시 마포구 망원동
1570,구례섬진강다슬기수제비,한식,전라남도 구례군 구례읍
1571,우주선,베이커리,제주특별자치도 제주시 한림읍
1572,돼지꿈,돼지고기구이,대구광역시 동구 율하동
1573,신춘천닭갈비,닭갈비,강원도 원주시 반곡동
1574,뉴질랜드스토리,브런치,서울특별시 송파구 송파동
1575,알페인,맥주|호프,경기도 안산시 단원구
1576,기장올바른대게,대게요리,부산광역시 기장군 기장읍
1577,상수역283,양식,전라북도 전주시 완산구
1578,하백,카페|디저트,경기도 남양주시 조안면
1579,쿠로스시,초밥|롤,서울특별시 송파구 문정동
1580,바다뷰제빵소,베이커리,강원도 양양군 강현면
1581,그린무드,카페|디저트,제주특별자치도 서귀포시 중문동
1582,대연골목,카페|디저트,부산광역시 남구 대연동
1583,미도인 강남,양식,서울특별시 강남구 역삼동
1584,여진식당,게요리,전라남도 여수시 학동
1585,사이숲,브런치,경기도 안양시 만안구
1586,스시예찬,초밥|롤,인천광역시 강화군 삼산면
1587,꼬르소커피,카페|디저트,서울특별시 종로구 평동
1588,텟포,이자카야,경기도 안산시 상록구
1589,낙원타코 서현점,멕시코|남미음식,경기도 성남시 분당구
1590,잭슨피자 이촌점,피자,서울특별시 용산구 용산동5가
1591,와이낫,이탈리아음식,서울특별시 관악구 신림동
1592,돔베초밥 아중점,초밥|롤,전라북도 전주시 덕진구
1593,진성반점,중식당,제주특별자치도 제주시 아라이동
1594,한상근대통밥집,한식,전라남도 담양군 월산면
1595,초심,요리주점,경기도 구리시 토평동
1596,앨리스의 식탁,양식,서울특별시 도봉구 창동
1597,돌카롱 사려니숲길점,양식,제주특별자치도 제주시 조천읍
1598,동백식탁,이탈리아음식,경기도 용인시 기흥구
1599,고인돌황소곱창,곱창|막창|양,경기도 안양시 만안구
1600,앙뉴카페,카페|디저트,서울특별시 강남구 도곡동
1601,화룡정육점식당,정육식당,경기도 이천시 부발읍
1602,꽃담은소 영등포구청점,소고기구이,서울특별시 영등포구 당산동3가
1603,근린주옥,이자카야,서울특별시 강서구 마곡동
1604,코코리파이프,스파게티|파스타전문,제주특별자치도 제주시 애월읍
1605,카페발코니,브런치,울산광역시 남구 달동
1606,더 방갈로,바(BAR),서울특별시 용산구 이태원동
1607,덤덤덤쪽갈비 양산중부점,육류|고기요리,경상남도 양산시 중부동
1608,이츠모라멘,일본식라면,강원도 강릉시 초당동
1609,이노찌,요리주점,서울특별시 강북구 수유동
1610,대막비스트로,일식당,서울특별시 강남구 신사동
1611,가치,이자카야,제주특별자치도 제주시 용담1동
1612,일번지옛날통닭,치킨|닭강정,서울특별시 강북구 수유동
1613,브라운하우스,카페|디저트,서울특별시 마포구 연남동
1614,유익상스시,초밥|롤,서울특별시 마포구 서교동
1615,김민성셰프베이커리,베이커리,경상북도 포항시 북구
1616,안성돌곱창,곱창|막창|양,경기도 안성시 석정동
1617,줄리앤칩버드내점,양식,대전광역시 중구 유천1동
1618,버거베어 양정점,햄버거,부산광역시 부산진구 양정동
1619,대나무베트남명품쌀국수,베트남음식,인천광역시 연수구 동춘동
1620,칠돈가 본점,돼지고기구이,제주특별자치도 제주시 용담2동
1621,꽃기린카페,카페,제주특별자치도 제주시 조천읍
1622,멘야노유메,일본식라면,경기도 이천시 중리동
1623,까페동향,카페|디저트,서울특별시 영등포구 당산동1가
1624,제주약수터올레시장점,맥주|호프,제주특별자치도 서귀포시 서귀동
1625,흥부와놀부,한식,충청북도 청주시 상당구
1626,오스테리아샘킴,양식,서울특별시 마포구 합정동
1627,블루문카페,카페|디저트,인천광역시 남동구 구월동
1628,이가 사시미,생선회,서울특별시 은평구 응암동
1629,수완초밥,초밥|롤,광주광역시 광산구 수완동
1630,60빈스,카페,제주특별자치도 서귀포시 호근동
1631,쭈꾸미아저씨 신곡점,주꾸미요리,경기도 의정부시 신곡동
1632,화양연가 2호점,중식당,서울특별시 용산구 남영동
1633,스시앤,초밥|롤,인천광역시 부평구 부평동
1634,커피내리는버스정류장,카페|디저트,강원도 속초시 금호동
1635,오크셔통돼지&amp;철판,돼지고기구이,경기도 고양시 일산서구
1636,봉순이네흑돼지,돼지고기구이,제주특별자치도 서귀포시 대정읍
1637,등촌칼국수 광명점,칼국수|만두,경기도 광명시 철산동
1638,교대이층집 동탄점,육류|고기요리,경기도 화성시 반송동
1639,두부만드는집,두부요리,대전광역시 중구 유천동
1640,프라이데이,종합분식,대구광역시 중구 삼덕동1가
1641,더로맨틱 내 생에 가장 아름다운 날들,카페|디저트,제주특별자치도 제주시 조천읍
1642,털보수산,생선회,경기도 광명시 하안동
1643,마포왕족발,족발|보쌈,서울특별시 마포구 공덕동
1644,별미곱창,곱창|막창|양,서울특별시 송파구 방이동
1645,하우돈곱창 소하점,곱창|막창|양,경기도 광명시 소하동
1646,한가족숯불닭갈비,닭갈비,강원도 춘천시 신동면
1647,모토이시 역삼점,육류|고기요리,서울특별시 강남구 역삼동
1648,백소정 홍성내포점,일식당,충청남도 홍성군 홍북읍
1649,쌍둥이횟집본점,생선회,제주특별자치도 서귀포시 서귀동
1650,옥면가 논현지점,국수,서울특별시 강남구 논현동
1651,우대겸애월살롱,패밀리레스토랑,제주특별자치도 제주시 애월읍
1652,복호식당,닭갈비,경상남도 진주시 가좌동
1653,르풀,카페,서울특별시 중구 정동
1654,사우스커피,카페|디저트,제주특별자치도 서귀포시 안덕면
1655,카페모테이,카페|디저트,경기도 의왕시 내손동
1656,꾸돈 침산점,곱창|막창|양,대구광역시 북구 칠성동2가
1657,우진해장국,향토음식,제주특별자치도 제주시 삼도2동
1658,1987루프탑라운지,카페|디저트,충청북도 청주시 상당구
1659,수다 대치점,이자카야,서울특별시 강남구 대치동
1660,인더하우스,피자,강원도 횡성군 둔내면
1661,금성커피,카페,서울특별시 강남구 도곡동
1662,배씨상회 경주점,요리주점,경상북도 경주시 동천동
1663,백년갈비 경성대점,육류|고기요리,부산광역시 남구 대연동
1664,신촌오리농원,오리요리,광주광역시 북구 대촌동
1665,아끈식당,스파게티|파스타전문,제주특별자치도 제주시 조천읍
1666,크레이저커피 갈산점,카페,인천광역시 부평구 갈산동
1667,PASTA HOUSE 오늘의식탁,스파게티|파스타전문,서울특별시 은평구 대조동
1668,문화동96,카페|디저트,충청남도 천안시 동남구
1669,고소운,카페|디저트,서울특별시 동대문구 이문동
1670,레빠쥬,이탈리아음식,서울특별시 강남구 신사동
1671,덕주골산장,한식,충청북도 제천시 한수면
1672,우문,한식,경기도 군포시 산본동
1673,바당모살,생선회,제주특별자치도 제주시 조천읍
1674,여울목소곱창,곱창|막창|양,경기도 의정부시 장암동
1675,명성즉석떡볶이,종합분식,서울특별시 강동구 상일동
1676,용씨네 누룽지통닭구이,한식,서울특별시 서대문구 홍제동
1677,나의 계절 봄,플라워카페,대구광역시 북구 태전동
1678,동피랑김밥,김밥,경상남도 통영시 서호동
1679,츄룹,아이스크림,광주광역시 동구 광산동
1680,쿵푸불짬뽕,중식당,경기도 양평군 단월면
1681,고쿠텐 홍대점,일식당,서울특별시 마포구 동교동
1682,겟인 상북,카페|디저트,경상남도 양산시 상북면
1683,몰트바 루바토,바(BAR),서울특별시 마포구 용강동
1684,로얄경양식&amp;스테이크,양식,경상남도 양산시 물금읍
1685,초밥어선생,초밥|롤,대전광역시 서구 변동
1686,코코펠리,카페|디저트,경상남도 사천시 벌리동
1687,영동소곱창 신사점,곱창|막창|양,서울특별시 강남구 신사동
1688,팔팔민물장어,장어|먹장어요리,서울특별시 서초구 반포동
1689,햇살복집,복어요리,경상남도 남해군 삼동면
1690,정돈 대학로본점,돈가스,서울특별시 종로구 명륜4가
1691,목장원,소고기구이,부산광역시 영도구 동삼동
1692,MMM cafe,카페|디저트,경상북도 포항시 남구
1693,카페 921,카페|디저트,강원도 평창군 용평면
1694,어씨네본가,해물|생선요리,충청남도 공주시 반포면
1695,88회스시88,초밥|롤,대구광역시 동구 상매동
1696,고기요리왕,돼지고기구이,서울특별시 양천구 신정동
1697,런이트,카페|디저트,서울특별시 마포구 상암동
1698,오복수산 한남,일식당,서울특별시 용산구 한남동
1699,staywell cafe,카페,서울특별시 마포구 공덕동
1700,팥이재,빙수,서울특별시 영등포구 여의도동
1701,예당소쿠리밥상,보리밥,충청남도 예산군 대흥면
1702,한스떡볶이 중곡1호점,떡볶이,서울특별시 광진구 중곡동
1703,고반식당 판교아브뉴프랑점,돼지고기구이,경기도 성남시 분당구
1704,황제짬뽕양꼬치전문점,중식당,서울특별시 금천구 가산동
1705,톤쇼우,돈가스,부산광역시 수영구 민락동
1706,신삼천포횟집,생선회,울산광역시 동구 방어동
1707,아로스토,브런치,경기도 용인시 수지구
1708,썬라이즈135,라면,제주특별자치도 서귀포시 성산읍
1709,마또이따,스파게티|파스타전문,경기도 광명시 철산동
1710,에바돈가츠 도농점,돈가스,경기도 남양주시 다산동
1711,BPD 카페,카페|디저트,인천광역시 부평구 부평동
1712,수진이네손칼국수,칼국수|만두,경기도 부천시 오정동
1713,백화네부엌 교대점,요리주점,서울특별시 서초구 서초동
1714,퀸즈샐러드,다이어트|샐러드,서울특별시 광진구 자양동
1715,한일맛집,찜닭,충청북도 단양군 매포읍
1716,위드케익,카페|디저트,경기도 군포시 도마교동
1717,블루밍데이,카페|디저트,경기도 안산시 단원구
1718,갓잇 송리단길점,멕시코|남미음식,서울특별시 송파구 송파동
1719,그린노마드,카페,부산광역시 수영구 망미동
1720,복정동커피집,카페|디저트,경기도 성남시 수정구
1721,거잠포횟집,생선회,인천광역시 중구 운서동
1722,포항물회,생선회,강원도 강릉시 옥천동
1723,골목이야기,카페,충청북도 청주시 청원구
1724,한성양꼬치 교대점,양꼬치,서울특별시 서초구 서초동
1725,타짜도르 강남점,카페|디저트,서울특별시 서초구 서초동
1726,혜화시장 방이점,요리주점,서울특별시 송파구 방이동
1727,봉화에프앤비,기업,서울특별시 강남구 삼성동
1728,평릉한우설렁탕,곰탕|설렁탕,강원도 동해시 평릉동
1729,대정양곱창 별관,곱창|막창|양,부산광역시 중구 부평동1가
1730,알로하포케 학동점,퓨전음식,서울특별시 강남구 논현동
1731,알렉산더플라츠,카페|디저트,서울특별시 광진구 화양동
1732,oooa,양식,대구광역시 중구 덕산동
1733,Pres Coffee,카페|디저트,서울특별시 송파구 송파동
1734,달항아리,죽,서울특별시 종로구 관훈동
1735,타이거슈가 부천점,카페|디저트,경기도 부천시 심곡동
1736,오늘돈카츠,돈가스,서울특별시 금천구 가산동
1737,스시뷰,초밥|롤,경기도 김포시 구래동
1738,녹아,카페|디저트,경상북도 경주시 황남동
1739,교자나지,이자카야,전라북도 전주시 완산구
1740,윤가면옥,냉면,서울특별시 송파구 방이동
1741,화수분제빵소,베이커리,경기도 남양주시 화도읍
1742,쉐프깐딴떼,이탈리아음식,경기도 광주시 장지동
1743,시골못난이투,한식,제주특별자치도 제주시 연동
1744,김삿갓통닭 도산점,치킨|닭강정,광주광역시 광산구 도산동
1745,대전봉명동맛집 대손관본점,돈가스,대전광역시 유성구 봉명동
1746,노베이커노베이커스,카페|디저트,부산광역시 부산진구 전포동
1747,와이에스컴퍼니,종합분식,전라남도 여수시 웅천동
1748,회산장칼국수,칼국수|만두,강원도 강릉시 홍제동
1749,맛골,한식,강원도 양양군 손양면
