,place,category,location
170,김영화스시,초밥|롤,경기도 화성시 향남읍
171,오소록키친,양식,제주특별자치도 제주시 이도이동
172,인딕슬로우,인도음식,서울특별시 송파구 송파동
173,다니쉬,베이커리,제주특별자치도 제주시 조천읍
174,열두달,카페|디저트,제주특별자치도 제주시 한경면
175,포레스트96,카페|디저트,전라남도 화순군 화순읍
176,누리마실,오리요리,경상남도 양산시 북정동
177,여수낭만식당 마곡나루점,한식,서울특별시 강서구 마곡동
178,미강식당,돼지고기구이,서울특별시 송파구 잠실동
179,무너미,카페|디저트,서울특별시 강북구 수유동
180,베이식,요리주점,대구광역시 중구 삼덕동1가
181,대학로족발보쌈,족발|보쌈,서울특별시 종로구 혜화동
182,키친인디아,인도음식,경상남도 양산시 물금읍
183,72420 성신여대점,72420,서울특별시 성북구 동선동1가
184,두총각닭갈비 삼계점,닭갈비,경상남도 김해시 삼계동
185,와우와우토종왕족발보쌈,족발|보쌈,울산광역시 북구 호계동
186,죽향갈비안창집 목동점,소고기구이,서울특별시 양천구 신정동
187,제주홍돈 본점,돼지고기구이,제주특별자치도 제주시 한림읍
188,한강사철탕,사철|영양탕,서울특별시 용산구 한강로3가
189,강초밥,초밥|롤,서울특별시 동작구 신대방동
190,우리의정원,카페|디저트,경상남도 진주시 동성동
191,리리마카오굴국수,아시아음식,서울특별시 마포구 연남동
192,동해돌장어구이,장어|먹장어요리,경상남도 김해시 관동동
193,원정집,닭볶음탕,부산광역시 중구 남포동2가
194,카페주택,카페|디저트,인천광역시 강화군 강화읍
195,왕십리곱창오가네,곱창|막창|양,경기도 수원시 장안구
196,묘한식탁,양식,서울특별시 마포구 합정동
197,하도핑크,양식,제주특별자치도 제주시 구좌읍
198,버거&amp;파스타,햄버거,부산광역시 해운대구 중동
199,어데고,조개요리,경기도 의정부시 의정부동
200,산방산초가집,향토음식,제주특별자치도 서귀포시 안덕면
201,효자황태구이,해물|생선요리,강원도 춘천시 효자동
202,제레미,카페|디저트,제주특별자치도 제주시 애월읍
203,진해식탁,양식,경상남도 창원시 진해구
204,앳커피,카페|디저트,서울특별시 마포구 서교동
205,양보제과,카페|디저트,경상남도 하동군 양보면
206,카페 시바,퓨전음식,서울특별시 용산구 남영동
207,애월의밤,이자카야,서울특별시 영등포구 당산동3가
208,브루나,카페|디저트,대구광역시 중구 삼덕동3가
209,뚜레한우,소고기구이,강원도 홍천군 두촌면
210,마담에뽀끄,양식,부산광역시 수영구 민락동
211,더램키친,일식당,경상남도 창원시 의창구
212,별빵 쌍촌점,베이커리,광주광역시 서구 쌍촌동
213,좋은아침페스츄리,베이커리,경기도 안산시 상록구
214,모터시티 강남점,피자,서울특별시 강남구 역삼동
215,중문색달통갈치,해물|생선요리,제주특별자치도 서귀포시 색달동
216,크림잇,카페|디저트,대전광역시 서구 월평동
217,인더비엣,베트남음식,인천광역시 부평구 삼산동
